name,role,location,party,bills,motions
matthew rae,"Parliamentary Assistant to the Minister of Municipal Affairs and Housing Vice-Chair, Standing Committee on Procedure and House Affairs Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Perth—Wellington,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 186, Growing Agritourism Act, 2024', 'Bill 141, Life Leases Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-186', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-141'], 'explanatory_notes': ['The Bill enacts the Growing Agritourism Act, 2024. The Act applies in respect of agritourism activities that are carried out as part of a farming business that has an annual gross income of $7,000 or more. Agritourism activities are defined as agriculture related educational, entertainment, historical, cultural, limited accommodations or recreational activities, including you-pick operations or farm markets, conducted on a farm that allows or invites members of the general public to observe, participate in or enjoy that activity.', 'The Bill enacts the Life Leases Act, 2023.']}","{'motion_name': ['Motion 71', 'Motion 63'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_FEE7AE7E-2178-EE11-8179-000D3AF4F44A', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_DD6FD3F6-DF5B-EE11-8DF0-000D3AF4FB27']}"
tom rakocevic,"hair, Standing Committee on Public Accounts Critic, Auto Insurance Critic, Consumer Protecti",Humber River—Black Creek,New Democratic Party of Ontario,"{'bill_name': ['Bill 213, Affordable Home Heating Act, 2024', 'Bill 210, Stopping Illegal Handgun Smuggling Act, 2024', 'Bill 202, Lower Fares, Better Service on the Union Pearson Express Act, 2024', 'Bill 187, Right to Repair Consumer Electronic Products, Household Appliances, Wheelchairs, Motor Vehicles and Farming Heavy Equipment Act, 2024', 'Bill 169, Removing Red Tape for Homeowners (No More Pushy, High-Pressure HVAC Scams) Act, 2024', 'Bill 167, Orthodox Christian Week Act, 2024', 'Bill 161, Eastern Orthodox Christian Week Act, 2023', 'Bill 126, Ban iGaming Advertising Act, 2023', 'Bill 122, Ontario Consumer Watchdog Act, 2023', 'Bill PR54, The Abiezer Pentecostal Church (Toronto) Act, 2024', 'Bill 12, Ending Automobile Insurance Discrimination in the Greater Toronto Area Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-213', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-210', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-202', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-187', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-169', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-167', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-161', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-126', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-122', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr54', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-12'], 'explanatory_notes': ['The Bill enacts the Affordable Home Heating Act, 2024. The Act requires the Minister of Energy to develop an alternative home heating fuel strategy and to publish that strategy on a website of the Government of Ontario.', 'The Bill enacts the Stopping Illegal Handgun Smuggling Act, 2024. The Act requires the Minister to develop an illegal handgun litigation plan in consultation with specified communities and professionals. In developing the plan, the Minister is required to undertake research on various matters, including the entry of illegal handguns into Ontario and the grounds for bringing legal action against gun manufacturers that manufacture handguns in the United States of America. Depending on the results of the research, the Minister may be required to take steps to commence such legal action and, if the Minister considers it in the public interest to do so, to develop legislation.', 'The Bill amends the Metrolinx Act, 2006 to require the establishment of a committee to review the passenger transportation system between downtown Toronto and Toronto Pearson International Airport known as the Union Pearson Express. The Bill provides for the composition of the committee and the committee’s mandate, which is to make recommendations respecting a plan, a timeline and funding estimates to achieve certain goals for the Union Pearson Express as set out in the Bill.', 'The Consumer Protection Act, 2023 is amended by adding a new Part V.1.', 'Section 54 of the Personal Property Security Act is amended to provide that a notice of security interest where the collateral is a prescribed consumer good or an extension of any such notice shall not be registered and any such existing registrations shall be discharged by the registrar. Section 74.1 is amended to give authority to the Minister to prescribe consumer goods for the purposes of subsections 54 (7) and (8).', 'The Bill proclaims the seven-day period in each year starting on Orthodox Easter Sunday as Orthodox Christian Week.', 'The Bill proclaims the seven-day period in each year starting on Orthodox Easter Sunday as Eastern Orthodox Christian Week.', 'The Bill enacts the Ban iGaming Advertising Act, 2023. The Act prohibits the promotion of online gambling sites by means of advertising. Any person who contravenes the Act is guilty of an offence and on conviction is liable to a fine of at least $25,000 and not more than $1,000,000.', 'The Bill enacts the Ontario Consumer Watchdog Act, 2023. The Act requires the Minister, in consultation with relevant stakeholders and the public, to develop and implement a plan to establish an independent consumer watchdog organization that is responsible for overseeing consumer protection matters in Ontario. The Act provides that the plan shall include the steps the Minister intends to take to establish the organization, the powers and duties of the organization, the role of the organization in relation to other regulatory bodies and such other matters as the Minister considers advisable. The Minister must publish the plan on a Government of Ontario website as well as prepare and table a progress report on the plan in the Legislative Assembly.', 'The purpose of the Bill is set out in the Preamble.', 'The Bill amends the Insurance Act in order to prevent residents of the Greater Toronto Area from paying different rates for automobile insurance based solely on the municipality or area in which they reside in the Greater Toronto Area.']}","{'motion_name': ['Motion 105'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_55AEB54E-4003-EF11-9F89-002248B0C507']}"
kaleed rasheed,,Mississauga East—Cooksville,Independent,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
greg rickford,Minister of Indigenous Affairs and First Nations Economic Reconciliation Minister of Northern Developm,Kenora—Rainy River,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
brian riddell,"Parliamentary Assistant to the Minister of Public and Business Service Delivery and Procurement Member, Standing Committee on Justice Policy",Cambridge,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 158, Group of Seven Day Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-158'], 'explanatory_notes': ['1 July 7 in each year is proclaimed as Group of Seven Day.']}","{'motion_name': ['Motion 38'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_DB4518AB-4DC7-ED11-B596-0022486DC01C']}"
ross romano,hief Government Whip,Sault Ste. Marie,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
sheref sabawy,"Parliamentary Assistant to the Minister of Citizenship and Multiculturalism Member, Standing Committee on Public Acc",Mississauga—Erin Mills,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 215, Ukrainian Heritage Month Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-215'], 'explanatory_notes': ['The Bill proclaims the month of September in each year as Ukrainian Heritage Month.']}","{'motion_name': [], 'motion_href': []}"
amarjot sandhu,"Parliamentary Assistant to the Minister of Infrastructure (Infrastructure) Member, Standing Committee on Heritage, Infrastructure and Cultural Policy",Brampton West,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': ['Motion 131'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_1E992609-BF8F-EF11-8A69-6045BD612BD1']}"
prabmeet singh sarkaria,Minister of Transportati,Brampton South,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 212, Reducing Gridlock, Saving You Time Act, 2024', 'Bill 197, Safer Roads and Communities Act, 2024', 'Bill 162, Get It Done Act, 2024', 'Bill 77, Supply Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-212', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-197', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-162', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-77'], 'explanatory_notes': ['The Schedule amends subsection 26 (6) of the Building Broadband Faster Act, 2021 to provide that an expropriation made under section 10 of the Ministry of Infrastructure Act, 2011 in respect of a designated broadband project constitutes an expropriation. Section 26.1 is added to exclude the application of certain provisions of the Expropriations Act to an expropriation made in respect of a designated broadband project.', 'The Bill makes various amendments to the Highway Traffic Act, including the following:', 'The Schedule amends the Environmental Assessment Act to provide that, a reference to acquiring property or rights in property is a reference to doing so by purchase, lease, expropriation or otherwise.', '1 In this Act,']}","{'motion_name': [], 'motion_href': []}"
stephane sarrazin,"Parliamentary Assistant to the Associate Minister of Small Business Parliamentary Assistant to the Minister of Francophone Affairs Member, Standing Committee on Justice Policy Member, Standing Committee on Procedure and House Affai",Glengarry—Prescott—Russell,Progressive Conservative Party of Ontario,"{'bill_name': [""Bill 73, Supporting Ontario's Community, Rural and Agricultural Newspapers Act, 2023""], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-73'], 'explanatory_notes': ['The Bill amends the City of Toronto Act, 2006, the Development Charges Act, 1997, the Environmental Assessment Act, the Municipal Act, 2001, the Ontario Heritage Act and the Planning Act where the Act or the regulations made under it require that notices be published in a newspaper having general circulation in a municipality. The amendments allow the publication to be done in a newspaper that is published at regular intervals of a month or less, rather than published at regular intervals of a week or less, as is currently the case.']}","{'motion_name': [], 'motion_href': []}"
